          ;        9080;   ;resultado ;Validacion                              ;13072015      ;142532;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;        9080;   ;resultado ;20150713022439                          ;13072015      ;142532;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;        9080;   ;resultado ;20150713022439                          ;13072015      ;142532;200.10.12.55   ;OK ;                    ;http://45.55.88.47/xt_compra.php                                        
681188069 ;        9080;   ;transacc  ;681188069                               ;13072015      ;142532;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
681188069 ;        9080;   ;resultado ;logro abrir_conexion                    ;13072015      ;142532;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
681188069 ;        9080;   ;transacc  ;681188069                               ;13072015      ;142532;200.10.12.55   ;OK ;597026007976        ;POST a url http://45.55.88.47/xt_compra.php                             
681188069 ;        9080;   ;transacc  ;681188069                               ;13072015      ;142532;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;        9080;   ;resultado ;20150713022439                          ;13072015      ;142532;200.10.12.55   ;OK ;                    ;tienda NO acepto transaccion                                            
          ;        9080;   ;resultado ;20150713022439                          ;13072015      ;142532;200.10.12.55   ;OK ;                    ;respuesta enviada a TBK (ERR)                                           
681188069 ;        9080;   ;resultado ;datoscom                                ;13072015      ;142532;200.10.12.55   ;Ok ;597026007976        ;Error al obtener ack (46)                                               
          ;        9080;   ;resultado ;20150713022439                          ;13072015      ;142532;200.10.12.55   ;ERR;                    ;46                                                                      
          ;        9122;   ;Filtro    ;Inicio                                  ;13072015      ;143324;186.67.203.10  ;OK ;                    ;Inicio de filtrado                                                      
          ;        9122;   ;Filtro    ;tbk_param.txt                           ;13072015      ;143324;186.67.203.10  ;OK ;                    ;Archivo parseado                                                        
          ;        9122;   ;Filtro    ;Terminado                               ;13072015      ;143324;186.67.203.10  ;OK ;                    ;Datos Filtrados con exito                                               
681240409 ;        9122;   ;pago      ;inicio                                  ;13072015      ;143324;186.67.203.10  ;OK ;597026007976        ;Parseo realizado                                                        
681240409 ;        9122;   ;pago      ;https://certificacion.webpay.cl         ;13072015      ;143324;186.67.203.10  ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
681240409 ;        9122;   ;pago      ;https://certificacion.webpay.cl         ;13072015      ;143324;186.67.203.10  ;OK ;597026007976        ;Mac generado                                                            
681240409 ;        9122;   ;pago      ;https://certificacion.webpay.cl         ;13072015      ;143324;186.67.203.10  ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
681240409 ;        9122;   ;pago      ;https://certificacion.webpay.cl         ;13072015      ;143324;186.67.203.10  ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
681240409 ;        9122;   ;pago      ;https://certificacion.webpay.cl         ;13072015      ;143324;186.67.203.10  ;OK ;597026007976        ;Datos listos para ser enviados                                          
681240409 ;        9122;   ;pago      ;https://certificacion.webpay.cl         ;13072015      ;143324;186.67.203.10  ;OK ;597026007976        ;Medio 2: Por redireccion                                                
681240409 ;        9122;   ;pago      ;https://certificacion.webpay.cl         ;13072015      ;143324;186.67.203.10  ;OK ;597026007976        ;Redireccion web                                                         
681240409 ;        9122;   ;pago      ;https://certificacion.webpay.cl         ;13072015      ;143324;186.67.203.10  ;OK ;597026007976        ;Todo OK                                                                 
          ;        9123;   ;resultado ;Desencriptando                          ;13072015      ;143357;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;        9123;   ;resultado ;Validacion                              ;13072015      ;143357;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;        9123;   ;resultado ;20150713023322                          ;13072015      ;143357;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;        9123;   ;resultado ;20150713023322                          ;13072015      ;143357;200.10.12.55   ;OK ;                    ;http://45.55.88.47/xt_compra.php                                        
681240409 ;        9123;   ;transacc  ;681240409                               ;13072015      ;143357;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
681240409 ;        9123;   ;resultado ;logro abrir_conexion                    ;13072015      ;143357;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
